r_precision;query
0.0;1
0.0;2
0.0;3
-0.2;4
0.0;5
0.10000000000000003;6
-0.09999999999999998;7
-0.1;8
0.0;9
0.0;10
0.0;11
0.0;12
0.10000000000000003;13
0.0;14
0.09999999999999998;15
0.19999999999999996;16
0.09999999999999998;17
0.10000000000000009;18
0.0;19
0.19999999999999996;20
0.0;21
0.30000000000000004;22
0.1;23
0.19999999999999998;24
0.0;25
0.09999999999999998;26
0.0;27
0.0;28
-0.19999999999999998;29
-0.09999999999999998;30
0.09999999999999998;31
0.09999999999999998;32
0.20000000000000007;33
0.19999999999999996;34
0.2;35
0.0;36
0.09999999999999998;37
0.0;38
0.19999999999999996;39
0.0;40
0.0;41
0.0;42
0.10000000000000009;43
0.20000000000000007;44
-0.09999999999999998;45
-0.2;46
0.0;47
-0.1;48
-0.10000000000000009;49
0.0;50
-0.09999999999999998;51
0.0;52
0.0;53
0.0;54
-0.19999999999999998;55
-0.10000000000000003;56
0.10000000000000009;57
-0.20000000000000007;58
-0.3;59
-0.1;60
0.0;61
0.3;62
-0.09999999999999998;63
-0.1;64
0.09999999999999998;65
0.10000000000000003;66
-0.09999999999999998;67
-0.5;68
0.0;69
-0.09999999999999998;70
-0.09999999999999998;71
0.0;72
0.0;73
0.0;74
0.0;75
-0.09999999999999998;76
-0.1;77
-0.3;78
-0.10000000000000003;79
0.09999999999999998;80
0.0;81
-0.29999999999999993;82
0.09999999999999998;83
0.19999999999999996;84
0.0;85
0.10000000000000003;86
0.1;87
-0.1;88
-0.09999999999999998;89
0.0;90
-0.19999999999999996;91
0.10000000000000009;92
-0.2;94
0.0;95
0.09999999999999998;96
-0.10000000000000003;97
0.0;98
0.0;99
0.0;100
